"자치구별(1)",자치구별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,횡단중,횡단중,차도 통행중,차도 통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,기타,기타
"자치구별(1)",자치구별(2),사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수,사망자수,부상자수
"서울시",소계,90,7980,41,2280,11,876,-,481,2,753,36,3590
"서울시",종로구,6,265,3,94,-,47,-,14,-,22,3,88
"서울시",중구,3,218,2,73,1,23,-,7,-,14,-,101
"서울시",용산구,2,218,1,62,1,9,-,8,-,14,-,125
"서울시",성동구,3,225,1,73,-,24,-,23,-,15,2,90
"서울시",광진구,3,185,1,22,-,13,-,7,-,22,2,121
"서울시",동대문구,5,389,3,107,1,55,-,12,-,43,1,172
"서울시",중랑구,1,344,1,95,-,28,-,19,-,30,-,172
"서울시",성북구,5,308,1,92,1,22,-,12,1,22,2,160
"서울시",강북구,4,296,1,75,-,66,-,23,1,16,2,116
"서울시",도봉구,5,133,3,57,1,7,-,6,-,5,1,58
"서울시",노원구,5,276,4,98,1,34,-,15,-,40,-,89
"서울시",은평구,6,330,3,96,1,42,-,27,-,34,2,131
"서울시",서대문구,1,227,-,102,-,17,-,18,-,19,1,71
"서울시",마포구,5,279,2,74,1,27,-,14,-,34,2,130
"서울시",양천구,2,291,-,93,-,30,-,12,-,28,2,128
"서울시",강서구,4,336,2,104,-,29,-,14,-,21,2,168
"서울시",구로구,1,342,1,120,-,25,-,19,-,20,-,158
"서울시",금천구,3,235,3,62,-,9,-,8,-,41,-,115
"서울시",영등포구,3,394,1,127,-,60,-,27,-,31,2,149
"서울시",동작구,5,339,3,93,-,43,-,10,-,31,2,162
"서울시",관악구,4,291,-,57,1,27,-,24,-,24,3,159
"서울시",서초구,3,380,1,105,1,51,-,34,-,44,1,146
"서울시",강남구,5,829,2,187,1,78,-,70,-,90,2,404
"서울시",송파구,6,544,2,129,-,81,-,46,-,62,4,226
"서울시",강동구,-,306,-,83,-,29,-,12,-,31,-,151
